"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Manufacturer PN","Link","Unit Price"
"C1,C2,C3","3","1u, 100V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","ESK105M100AC3AA","https://www.digikey.com/en/products/detail/kemet/esk105m100ac3aa/18167477","$0.16"
"C4","1","200p, 50V","","","","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","C317C201J5G5TA7301","https://www.mouser.com/ProductDetail/KEMET/C317C201J5G5TA7301?qs=2FIyTMJ0hNno2fk56OoQRA%3D%3D","$0.62"
"C5","1","10n, 50V","","","","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","FG28C0G1H103JNT06","https://www.digikey.com/en/products/detail/tdk-corporation/FG28C0G1H103JNT06/5803088","$0.35"
"C6","1","220n, 50V","","","","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","FG22C0G1H224JNT00","https://www.digikey.com/en/products/detail/tdk-corporation/FG22C0G1H224JNT00/7326573","$1.47"
"C7,C8","2","470u, 200V","","","","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","EPAG201ELL471MM40S","https://www.digikey.com/en/products/detail/chemi-con/EPAG201ELL471MM40S/3983309",""
"D1,D2,D3,D4","4","1N4004","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1N4004","https://www.mouser.com/ProductDetail/Diotec-Semiconductor/1N4004?qs=OlC7AqGiEDk3eaZusDVIWQ%3D%3D","$0.10"
"J1,J3","2","691137710002","","","","DavidWrinn:691137710002-2screw","691137710002","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/691137710002/6644051?s=N4IgTCBcDaIGwE4CMSDMB2dSAMuIF0BfIA","$0.36"
"J2","1","702471054","","","","DavidWrinn:CONN_7024710xx_10pos","702471054","https://www.digikey.com/en/products/detail/molex/0702471054/3302078?s=N4IgTCBcDaIOwAYwBY4EYEFZkgLoF8g","$2.37"
"Q1","1","VPP12-800","","","","DavidWrinn:TRANS_VPP12-800_TRM","VPP12-800","https://www.digikey.com/en/products/detail/triad-magnetics/VPP12-800/242498","$10.06"
"R1,R2,R3,R6,R7,R8","6","330, 1/4W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","CF14JT330R","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT330R/1741399","$0.10"
"R4,R12","2","100K, 1/4W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","CF14JT100K","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT100K/1741263","$0.10"
"R5,R15","2","560K, 1/4W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","CF14JT560K","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT560K/1741468","$0.10"
"R9,R10,R11","3","2.2K, 1/4W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","CF14JT2K20","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT2K20/1741321","$0.10"
"R13,R14","2","1K, 1/4W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","CF14JT1K00","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT1K00/1741314","$0.10"
"R16","1","450, 1/2W","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","MFR50SFTE52-442R","https://www.digikey.com/en/products/detail/yageo/MFR50SFTE52-442R/9151526","$0.10"
"RV1,RV2,RV3,RV4","4","10K, 1/4W","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","PTN24B-B1015K1PB","https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/PTN24B-B1015K1PB/22255103","$1.45"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9","9","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm","","",""
"U1,U2","2","ECC88","","","","Valve:Valve_Noval_P","6922EH","https://www.vivatubes.com/brand-new-gain-tested-electro-harmonix-6922-6dj8-vacuum-tube/?gad_campaignid=1720911527","$21.92"
"U3","1","7591s","","","","Wheat:OCTAL","7591S","https://www.vivatubes.com/new-jj-7591-vacuum-tube/?searchid=0&search_query=7591s","$28.37"
